estBiparti;ProbabiliteDarrete;NombreCouplageParfait;NombreDeRun
true;0;0;100
true;0.001;0;100
true;0.002;0;100
true;0.003;0;100
true;0.004;0;100
true;0.005;0;100
true;0.006;0;100
true;0.007;0;100
true;0.008;0;100
true;0.009;0;100
true;0.01;0;100
true;0.011;1;100
true;0.012;8;100
true;0.013;26;100
true;0.014;37;100
true;0.015;53;100
true;0.016;77;100
true;0.017;75;100
true;0.018;85;100
true;0.019;93;100
true;0.02;97;100
true;0.021;99;100
true;0.022;99;100
true;0.023;99;100
true;0.024;100;100
true;0.025;99;100
true;0.026;100;100
true;0.027;100;100
true;0.028;100;100
true;0.029;100;100
true;0.03;100;100
false;0;0;100
false;0.001;0;100
false;0.002;0;100
false;0.003;0;100
false;0.004;0;100
false;0.005;0;100
false;0.006;6;100
false;0.007;37;100
false;0.008;70;100
false;0.009;88;100
false;0.01;98;100
false;0.011;100;100
false;0.012;98;100
false;0.013;100;100
false;0.014;100;100
false;0.015;100;100
false;0.016;100;100
false;0.017;100;100
false;0.018;100;100
false;0.019;100;100
false;0.02;100;100
false;0.021;100;100
false;0.022;100;100
false;0.023;100;100
false;0.024;100;100
false;0.025;100;100
false;0.026;100;100
false;0.027;100;100
false;0.028;100;100
false;0.029;100;100
false;0.03;100;100